IndicatorID,IndicatorName,Age,Sex,TimePeriod,TimePeriodSortable,PeriodStart,PeriodEnd,PeriodMidYear,Value,LowerCI95,UpperCI95,Count,Denominator,ValueNote,RecentTrend,RateScale,RateUnit,IsLatestPeriod
92196,Infant mortality rate,<1 yr,Persons,2007 - 09,20070000,2007,2009,2008.0,4.71233,4.61765,4.80846,9421.0,1999224.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2008 - 10,20080000,2008,2010,2009.0,4.55961,4.46721,4.65345,9260.0,2030874.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2009 - 11,20090000,2009,2011,2010.0,4.42873,4.33801,4.52087,9062.0,2046185.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2010 - 12,20100000,2010,2012,2011.0,4.26314,4.17464,4.35304,8822.0,2069368.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2011 - 13,20110000,2011,2013,2012.0,4.13654,4.0489,4.22561,8467.0,2046878.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2012 - 14,20120000,2012,2014,2013.0,3.97425,3.88779,4.06215,8029.0,2020254.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2013 - 15,20130000,2013,2015,2014.0,3.88563,3.79951,3.97321,7734.0,1990412.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2014 - 16,20140000,2014,2016,2015.0,3.87622,3.79018,3.96373,7710.0,1989050.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2015 - 17,20150000,2015,2017,2016.0,3.91724,3.83042,4.00554,7734.0,1974348.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2016 - 18,20160000,2016,2018,2017.0,3.93056,3.84273,4.0199,7608.0,1935600.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2017 - 19,20170000,2017,2019,2018.0,3.94806,3.85882,4.03885,7434.0,1882950.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2018 - 20,20180000,2018,2020,2019.0,3.90424,3.81402,3.99606,7111.0,1821351.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2019 - 21,20190000,2019,2021,2020.0,3.92711,3.83588,4.01996,7036.0,1791648.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2020 - 22,20200000,2020,2022,2021.0,3.93473,3.84255,4.02856,6918.0,1758189.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2021 - 23,20210000,2021,2023,2022.0,4.05976,3.96554,4.15566,7050.0,1736555.0,,,1000.0,"per 1,000",False
92196,Infant mortality rate,<1 yr,Persons,2022 - 24,20220000,2022,2024,2023.0,4.16609348978379,4.06985942209315,4.26402858590237,7117.0,1708315.0,,Cannot be calculated,1000.0,"per 1,000",True
92705,Neonatal mortality rate,<28 days,Persons,2001 - 03,20010000,2001,2003,2002.0,3.60844,3.5192,3.69937,6204.0,1719304.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2002 - 04,20020000,2002,2004,2003.0,3.56887,3.48122,3.65817,6291.0,1762744.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2003 - 05,20030000,2003,2005,2004.0,3.51811,3.43223,3.6056,6368.0,1810063.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2004 - 06,20040000,2004,2006,2005.0,3.48391,3.39951,3.56988,6466.0,1855960.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2005 - 07,20050000,2005,2007,2006.0,3.41468,3.33218,3.4987,6502.0,1904133.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2006 - 08,20060000,2006,2008,2007.0,3.34434,3.26395,3.42622,6568.0,1963914.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2007 - 09,20070000,2007,2009,2008.0,3.22925,3.15096,3.309,6456.0,1999224.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2008 - 10,20080000,2008,2010,2009.0,3.12132,3.04495,3.19912,6339.0,2030874.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2009 - 11,20090000,2009,2011,2010.0,3.05642,2.98113,3.13313,6254.0,2046185.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2010 - 12,20100000,2010,2012,2011.0,2.95404,2.88045,3.02904,6113.0,2069368.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2011 - 13,20110000,2011,2013,2012.0,2.87071,2.79778,2.94507,5876.0,2046878.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2012 - 14,20120000,2012,2014,2013.0,2.75411,2.68221,2.82744,5564.0,2020254.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2013 - 15,20130000,2013,2015,2014.0,2.70798,2.63617,2.78126,5390.0,1990412.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2014 - 16,20140000,2014,2016,2015.0,2.73799,2.66575,2.81169,5446.0,1989050.0,,,1000.0,"per 1,000",False
92705,Neonatal mortality rate,<28 days,Persons,2015 - 17,20150000,2015,2017,2016.0,2.79738,2.72408,2.87215,5523.0,1974348.0,,,1000.0,"per 1,000",False
